nombre,sku,precio
BOCINA ALFA PRO 65 CON TWEETER,#PBOALCXPRO65,3120.0
FARO TIPO BARRA 2X3 BICOLOR CON FLASHEADOR,#PFALEALRC012,280.0
TERMINAL ZAPATA SEMIFORRADA 110 CALIBRE 16-14,#PTEALFDV2-110,80.0
BARRA MINI RECTA BLANCA 1X18,#PBAALMIB054R,480.0
SUBWOOFER ALFA MT10D4,#PSWALMT10D4,2820.0
PORTA FUSIBLE ANL MINI,#PDCAL2ANL,80.0
KIT RELAY CON ARNES 5 PATAS,#KREAL5PIN,24.0
TERMINAL CONECTOR NYLON CALIBRE 16-14 AWG,#PTEALBNYF2,140.0
TERMINAL ESPADA VINYL CALIBRE 22-16 AWG,#PTEALTFDFD1.25,80.0
SWITCH PARA WINCH 3 POSICIONES,#PSWALLJ59,200.0
TERMINAL OJILLO CALIBRE 12-10 AWG,#PTEALRV5-8,65
SWITCH PARA LUCES DE ANTENA,#PSWALL61,200.0
CONVERTIDOR DE SEÑAL 2 CANALES,#PCVALHLC2,680.0
ARNES CORRECTOR DE FALLA,#KARALCORR,300.0
PORTA FUSIBLE MINI AFS,#PDCAL1AFS,100.0
ALARMA JX 609,#KALJX609,356250.0
SUBWOOFER ALFA MT65D2,#PSWALMT65D2,1790.0
SUBWOOFER ALFA ST80D4,#PSWALST80D4,3570.0
CABLE RCA ALFA 100% COBRE CCA 10 PIES,#PCBALRCACCA10,90.0
CABLE BICOLOR 2X22,#PCBCY2X22BI,14.0
RELAY DE 5 PATAS,#PAREAL5PIN,40.0
TERMINAL ZAPATA SEMIFORRADA 250 CALIBRE 16-14,#PTEALFDV2-250,110.0
SWITCH PARA LUZ DE TECHO,#PSWALLJ15,200.0
KIT OSRAM COOL BLUE H3,#KFOHAOS30322,660.0
DISTRIBUIDOR DE CORRIENTE CON PORTA FUSIBLE 2 VIAS,#PDCAL2AFS,190.0
CINTA DE TELA AISLANTE TESA MEDIANA 2CM,#PCIAISTESA40M,80.0
DISTRIBUIDOR DE CORRIENTE Y TIERRA CON PORTA FUSIBLE 4 VIAS,#PDCAL4AFS,280.0
CABLE RCA ALFA 100% COBRE CCA 3 PIES,#PCBALRCACCA3,170.0
KIT DE INSTALACION ALFA 4GA,#KCBINALCCA4,14.0
ARNES BIXENON H4,#PARBXH4,240.0
SWITCH PARA NIEBLA 2 POSICIONES,#PSWALLJ76,200.0
KIT LED ALFA S2 H13,#KFOLEALS2H13,250.0
SWITCH CON PUERTO USB SUPER CARGA 4.8,#PAWALLJ79,380.0
KIT LED ALFA S3 9006,#KFOLEALS396,320.0
KIT LED ALFA S2 9006,#KFOLEALS296,250.0
KIT LED ALFA S2 H7,#KFOLEALS2H7,250.0
KIT LED ALFA S2 H4,#KFOLEALS2H4,250.0
KIT LED ALFA S3 9005,#KFOLEALS395,320.0
KIT LED ALFA S3 9007,#KFOLEALS397,320.0
KIT LED ALFA S2 H11,#KFOLEALS2H11,250.0
KIT LED ALFA S2 H3,#KFOLEALS2H3,250.0
KIT LED ALFA S2 9005,#KFOLEALS295,250.0
KIT LED ALFA S2 880,#KFOLEALS2880,250.0
KIT LED ALFA M2 H7,#KFOLEALM2H7,1060.0
KIT LED ALFA M1 9005,#KFOLEALM195,620.0
KIT BILED ALFA M1 H3 Bicolor,#KFOLEALM1H32C,300.0
KIT LED ALFA S3 H7,#KFOLEALS3H7,320.0
KIT LED ALFA M1 H1 Bicolor,#KFOLEALM1H12C,670.0
KIT LED ALFA M1 880,#KFOLEALM1880,620.0
KIT LED ALFA M1 9007,#KFOLEALM197,620.0
KIT BILED ALFA M2 9007,#KFOLEALM297,820.0
KIT LED ALFA M2 H11,#KFOLEALM2H11,1060.0
KIT LED ALFA M1 H7 Bicolor,#KFOLEALM1H72C,300.0
KIT LED ALFA M1 H7,#KFOLEALM1H7,750.0
KIT LED ALFA S3 5202,#KFOLEALS352,320.0
KIT BILED ALFA M2 H1,#KFOLEALM2H1,1060.0
KIT LED ALFA M1 H13,#KFOLEALM1H13,750.0
KIT BILED ALFA M1 H4 Bicolor,#KFOLEALM1H42C,750.0
KIT BILED ALFA M2 H4,#KFOLEALM2H4,1060.0
KIT LED ALFA M1 H1,#KFOLEALM1H1,620.0
KIT LED ALFA M1 9006,#KFOLEALM196,620.0
KIT LED ALFA M2 H13,#KFOLEALM2H13,1060.0
KIT LED ALFA M1 9012 Bicolor,#KFOLEALM190122C,300.0
KIT LED ALFA S3 H4,#KFOLEALS3H4,320.0
KIT LED ALFA M1 5202,#KFOLEALM15202,620.0
KIT LED ALFA M2 H7 Tricolor,#KFOLEALM2H73C,1160
KIT BILED ALFA M4 H7,#KFOLEALM4H7,2100.0
KIT LED ALFA M2 9005,#KFOLEALM295,820.0
KIT LED ALFA M2 9006 Tricolor,#KFOLEALM2963C,1160.0
KIT LED ALFA M3 H11,#KFOLEALM3H11,1600.0
KIT LED ALFA M3 9005,#KFOLEALM395,1600.0
KIT BILED ALFA M3 9007,#KFOLEALM397,1600.0
KIT LED ALFA M4 9006,#KFOLEALM496,1700.0
KIT BILED ALFA M2 H13 Tricolor,#KFOLEALM2H133C,1400.0
KIT LED ALFA M3 H1,#KFOLEALM3H1,1600.0
KIT LED ALFA M4 H1,#KFOLEALM4H1,1700.0
KIT LED ALFA M2 5202,#KFOLEALM25202,820.0
KIT LED ALFA M2 H4 Tricolor,#KFOLEALM2H43C,1400.0
KIT LED ALFA M3 H7,#KFOLEALM3H7,1600.0
KIT LED ALFA M4 9005,#KFOLEALM495,1700.0
KIT LED ALFA P1 H7,#KFOLEALP1H7,1600.0
KIT LED ALFA M2 9005 Tricolor,#KFOLEALM2953C,1160.0
KIT LED ALFA M3 H3,#KFOLEALM3H3,1600.0
KIT BILED ALFA M3 H13,#KFOLEALM3H13,1600.0
KIT LED ALFA M3 9006,#KFOLEALM396,1600.0
KIT LED ALFA O1 9005,#KFOLEALO195,680.0
KIT LED ALFA M2 880,#KFOLEALM2880,820.0
KIT LED ALFA M4 H4,#KFOLEALM4H4,1700.0
KIT XENON SLIM H1,#KFOXEAL55H15K,1740.0
KIT OSRAM COOL BLUE H4,#KFOHAOS83526,660.0
KIT LED ALFA O1 H4,#KFOLEALO1H4,840.0
KIT OSRAM COOL BLUE INTENSE H13,#KFOHAOS30320,780.0
KIT LED ALFA D1S/D1R,#KFOLEALD1,2500.0
KIT LED ALFA D3S/D3R,#KFOLEALD3,2500.0
KIT BIXENON SLIM 9007,#KFOBXAL55975K,1700.0
KIT BILED ALFA P1 H4,#KFOLEALP1H4,1600.0
KIT OSRAM COOL BLUE HB4,#KFOHAOS86830,440.0
KIT LED ALFA P1 9005,#KFOLEALP195,1600.0
KIT HALOGENO COOLBLUE OSRAM 9005 HB3,#KFOHAOS87144,780.0
KIT LED ALFA D5S/D5R,#KFOLEALD5,2500.0
KIT LED ALFA O1 H11,#KFOLEALO1H11,680.0
KIT LED ALFA D4S/D4R,#KFOLEALD4,2500.0
KIT LED ALFA O1 H7,#KFOLEALO1H7,680.0
KIT LED COOL BLUE INTENSE OSRAM H7,#KFOLEOS86711,6100.0
KIT OSRAM COOL BLUE 9007,#KFOHAOS85542,380.0
KIT LED OSRAM 9005 DE NIEBLA EQUIPO ORIGINAL,#KFOLESY34966,4980.0
KIT XENON SLIM H11,#KFOXEAL55H115K,1740.0
KIT XENON SLIM 9005,#KFOXEAL55955K,1700.0
KIT LED OSRAM/SYLVANIA H4 EQUIPO ORIGINAL,#KFOLESY37693,5720.0
KIT XENON SLIM H3,#KFOXEAL55H35K,1740.0
KIT XENON SLIM 5202,#KFOXEAL55525K,1700.0
KIT BIXENON SLIM H13,#KFOBXAL55H135K,2140.0
KIT OSRAM COOL BLUE H1,#KFOHAOS85571,480.0
KIT HALOGENO NIGHTBREAKER OSRAM H4,#KFOHAOS86864,1000.0
KIT LAMPARA LED MINIATURA NEOLUX KFMLENE85241,#KFMLENE85241,160
BALASTRA D1/3 V4,#PBLACAL35V4,1270.0
KIT LED OSRAM/SYLVANIA H11 EQUIPO ORIGINAL,#KFOLESY37691,4740.0
KIT LAMPARA LED MINIATURA NEOLUX NF6441CW,#KFMLENE85234,240.0
KIT DE FOCO MINIATURA LED ALFA 1156,#KFMLEAL1156,600.0
KIT DE FOCO MINIATURA LED ALFA S5P-P21,#KFMLEALS5P21,600.0
KIT DE FOCO MINIATURA LED ALFA T10,#KFMLEALT10,700.0
FOCO MINIATURA LED ALFA C5-37MM,#PFMLEALC537B,130.0
FOCO XENON D4S,#PFOXEPH42402,3960.0
BALASTRA D1/3 H1,#PBLACAL35H1,1270.0
BALASTRA D1/3 M4,#PBLACAL35M4,1270.0
FOCO XENON PHILLIPS D5S,#PFOXEPH92854,2000.0
KIT LED OSRAM 9006 (HB4) EQUIPO ORIGINAL,#KFOLEOS86271,5720.0
BALASTRA D1/3 A4,#PBLACAL35A4,1270.0
BALASTRA D1/3 M3,#PBLACAL35M3,1270.0
FOCO XENON D3S,#PFOXEPH92853,3960.0
KIT DE FOCO MINIATURA LED ALFA S5-T16,#KFMLEALS5T16,700.0
KIT DE FOCO MINIATURA LED ALFA T15,#KFMLEALT15,240.0
FOCO MINIATURA LED ALFA C5-31MM,#PFMLEALC531B,640.0
FOCO MINIATURA LED ALFA C5-41MM,#PFMLEALC541B,130.0
FOCO XENON D2R,#PFOXEAL35D2R,560.0
FOCO XENON D2S NEOLUX H1,#PFOXENE85254,1300.0
BALASTRA D1/3 A2,#PBLACAL35A2,1270.0
KIT LAMPARA LED MINIATURA NEOLUX NP2260 CW-02B,#KFMLENE85240,500.0
BALASTRA ARRANCADOR DSC/D2R/D2S,#PIGACAL35,2000.0
KIT LAMPARA LED MINIATURA NEOLUX NP2160W-02B,#KFMLENE85246,320.0
BALASTRA SLIM ALFA 35W,#PBLACAL35,820
BARRA SLIM RECTA 2X12,#PBAALSL72R,440.0
"BARRA SYLVANIA 10"" SLIM LED LIGHTBAR",#PBASY34058,2680.0
KIT FARO REDONDO 9 LEDS,#KFALEALRD015,440.0
BARRA MINI RECTA BLANCA 1X24,#PBAALMIB072R,560.0
KIT BARRA MINI RECTA BICOLOR 1X6,#KBAALMIB018R,420.0
BARRA MINI RECTA BICOLOR 1X18,#KBAALMIB054R,1240.0
BARRA SLIM 2X20,#PBAALSL120R,1400.0
BARRA SLIM RECTA 2X30,#PBAALSL180R,1030.0
BARRA SLIM RECTA 2X50,#PBAALSL300R,1740.0
GPS COBAN 403,#KGPCO403A,800.0
BARRA MINI 1X6 CON FLASHEADOR RECTA BLANCA,#PBAALMIB018R,480.0
MODULO DOBLE PARA 2 BARRAS LED SECUENCIAL,#KANALNA102,320.0
"KIT FAROS LED ALFA 7"" 2 LUNAS 2 LUPAS",#KFEALEALRGB7Y4,440.0
"BARRA ALFA LED 90W 55"" 30 LEDS BLANCA CON LATERALES AMBAR",#PBAAL1X30RBA,6780.0
FARO REDONDO 9 LEDS,#PFALEALRD001,6640.0
FARO LED ALFA REDONDO 9 LED SLIM,#PFALEALRD003,1480.0
BARRA SLIM CURVA 2X40,#PBAALSL240C,1030.0
BARRA SLIM CURVA 2X50,#PBAALSL300C,1420.0
BARRA SLIM RECTA 2X6,#PBAALSL36R,440.0
"BARRA ALFA LED 90W 39"" 21 LEDS BLANCA CON LATERALES AMBAR",#PBAAL1X21RBA,3250.0
"BARRA SYLVANIA 20"" LED LIGHTBAR SPOT",#PBASY34028,4900.0
KIT BARRA MINI RECTA BICOLOR 1X12,#KBAALMIB036R,940.0
BARRA SLIM CURVA 2X30,#PBAALSL180C,1030.0
SWITCH PARA LUCES ANTINIEBLA,#PSWALLJ74,200.0
"FARO REDONDO 4"" SYLVANIA RUGUSO",#PFALESY34056,200.0
KIT DE FAROS PROYECTOR LUPA X8,#KPRLEAL55X8,1720.0
FARO LED ALFA RECTANGULAR 1X6 CREE,#PFALEALRC011,620
"FARO 3.5"" REDONDO FLOR 6 LEDS",#PFALEALRD005,400.0
KIT FAROS AUXILIARES REDONDOS LUZ BLANCA 3 LUNAS,#KFALEALAU001,1540.0
KIT FAROS SYLVANIA PODS DRL CUBE-X FLOOD,#KFALESY34008,440.0
FARO TIPO BARRA 2X3 CON LATERALES AMBAR/BLANCO C/FLASH,#PFALEALRC005,490.0
"UNIDAD CUADRADA 7"" LISA CON ALTA Y BAJA",#PUNLEALRC004,360.0
"FARO LED ALFA 6"" AZUL/ROJO CON ESTROBO",#PFALEALRC013,260.0
FARO CUADRADO 9 LEDS,#PFALEALCU001,220
KIT DE FAROS REDONDO 12 LEDS RGB CON LUZ DE DIA,#KUNLEALRD004,1740.0
"KIT FARO REDONDO 7"" 2 LUPAS 2 LUNAS Y DRL",#KUNLEALRD007,2020.0
FARO TIPO BARRA 2X3,#PFALEALCU006,260.0
KIT FARO CUADRADO 9 LED SLIM,#KFALEALCU016,400.0
FARO 1X1 LEDS CREE,#PFALELALCU002,220.0
KIT DE FAROS TIPO LUPA H5,#KPRLEAL45H5,460.0
KIT FAROS AUXILIARES REDONDOS LUZ BLANCA,#KFALEALAU005,1540.0
"KIT FAROS PODS CUADRADO SYLVANIA 3"" ULTRA CUBE",#KFALESY34072,6980.0
FARO FLASHEADOR TIPO BARRA 2X3,#PFALEALRC010,360.0
"FARO CUADRADO 4"" SYLVANIA RUGUSO",#PFALESY34054,280.0
"FARO LED ALFA 3"" 1X2 BLANCO",#PFALEALRC007,3440.0
"FARO LED ALFA 6"" BLANCO CON ESTROBO / AMBAR CON ESTROBO",#PFALEALRC009,280.0
"FARO REDONDO 3"" SYLVANIA RUGUSO",#PFALESY34084,1740.0
AMPLIFICADOR ALFA 800.4,#PAMAL800.4D,6600.0
BOCINA ALFA MREL65,#PBOALMREL65,570.0
"FARO LED ALFA 4 LED 1X4 4.5"" BLANCO CON ESTROBO",#PFALEALRC002,570.0
"UNIDAD REDONDA 7"" ALTA Y BAJA LISO",#PUNLEALRD002,1860.0
"UNIDAD CUADRADA GRANDE 7"" 3X5",#PUNLEALRC001,380.0
"UNIDAD CUADRADA 7"" 2 LUNAS 4 LEDS Y LUZ DE DIA",#PUNLEALRC006,1420.0
KIT DE CALAVERA LED JEEP WRANGLER RUBICON 02,#KCALEALJEE02,3050.0
AMPLIFICADOR ALFA 1200.1,#PAMAL1200.1D,8700.0
AMPLIFICADOR ALFA 1000.1 FR,#PAMALFR1000.1,1250.0
AMPLIFICADOR JX AUDIO 1000/1D,#PAMJX1000.1,1600.0
TWEETER ALFA TW20,#KTWALPRO20,1280.0
KIT FAROS LED ALFA 1X6 BLANCO/AMBAR CON ESTROBO,#KFALEALRC008,570.0
AMPLIFICADOR ALFA 600.5,#PAMAL600.5D,7780.0
FARO 2X3 CREE,#PFALEALRC004,240.0
KIT DE ILUMINACION EXTERIOR 6 ZONAS RGB,#KFOLEAL6ZONA,1490.0
FARO OSRAM H6054,#PUNHASY30832,340.0
"UNIDAD CUADRADA CHICA 5"" 3X5",#PUNLEALRC003,360.0
"UNIDAD CUADRADA 7"" 5X4 CON BARRA CENTRAL",#PUNLEALRC005,2310.0
"UNIDAD REDONDA 7"" 12 LEDS CON LUZ DE DIA",#PUNLEALRD003,1440.0
KIT DE CALAVERA LED JEEP WRANGLER RUBICON 04,#KCALEALJEE04,3050.0
AMPLIFICADOR ALFA 700.2,#PAMAL700.2D,6600.0
AMPLIFICADOR ALFA 500.4,#PAMALMN500.4,42742500.0
AMPLIFICADOR JX AUDIO 500/2D,#PAMJX500.2,1900.0
CABLE RCA ALFA 100% COBRE OFC 3 MTS,#PCBALRCAOFC10,90.0
KIT BOCINA ALFA MRLB80,#KBOALMRLB80,640.0
BOCINA ALFA PRO 69 CON TWEETER,#PBOALCXPRO69,1540.0
BOCINA ALFA MREL80,#PBOALMREL80,2240.0
TWEETER ALFA TW17,#KTWALPRO17,660.0
TWEETER ALFA TW25,#KTWALPRON25,2880.0
BOCINA ALFA MRXT65,#PBOALMRXT65,1120.0
BOCINA ALFA MRA65,#PBOALMRA65,1040.0
BOCINA ALFA MRLB65,#PBOALMRLB65,570.0
BOCINA ALFA MRXT80,#PBOALMRXT80,1560.0
KIT BOCINA ALFA PRO 80 CON TWEETER,#KBOALCXPRO80,1370.0
SUBWOOFER ALFA CT10D2,#PSWALCT10D2,1600.0
SUBWOOFER ALFA CT12D2,#PSWALCT12D2,1600.0
SUBWOOFER ALFA ST65D4,#PSWALST65D4,2390.0
KIT BOCINA ALFA MRXT80,#KBOALMRXT80,1560.0
KIT BOCINA Y TWEETER ALFA,#KBTALPROCS65,2740.0
SUBWOOFER ALFA CT12D4,#PSWALCT12D4,1780.0
SUBWOOFER ALFA ST12D4,#PSWALST12D4,5360.0
KIT BOCINA ALFA MRA65,#KBOALMRA65,1580.0
KIT BOCINA ALFA MRXT65,#KBOALMRXT65,1120.0
SUBWOOFER ALFA MT65D4,#PSWALMT65D4,1790.0
SUBWOOFER ALFA MT80D4,#PSWALMT80D4,2560.0
KIT BOCINA ALFA PRO 65 CON TWEETER,#KBOALCXPRO65,2500.0
BOCINA ALFA PRO 80 CON TWEETER,#PBOALCXPRO80,1370.0
SUBWOOFER ALFA ST10D4,#PSWALST10D4,4720.0
DISTRIBUIDOR DE CORRIENTE CON PORTA FUSIBLE 3 VIAS,#PDCAL3AFS,190.0
ALFA DSP (PROCESADOR DIGITAL DE SEÑAL),#KPRALHBP28PROBT,2080.0
DISTRIBUIDOR DE TIERRA 4 VIAS,#PDTALDB9,150.0
CABLE RCA ALFA 100% COBRE CCA 17 PIES,#PCBALRCACCA17,100.0
CABLE RCA ALFA 100% COBRE OFC TIPO Y 1H 2M,#PCBALRCAOFCY1H2M,85
SUBWOOFER ALFA ST80D2,#PSWALST80D2,2390.0
HOJA INSONORIZANTE 6MM,#PHOAL002,240.0
SUBWOOFER ALFA MT80D2,#PSWALMT80D2,1790.0
SUBWOOFER ALFA ST12D2,#PSWALST12D2,5360.0
KIT RESTAURADOR PARA BAJOS TIPO EPICENTRO,#KREALWJI20,1580.0
SUBWOOFER ALFA MT12D2,#PSWALMT12D2,2980.0
SUBWOOFER ALFA ST10D2,#PSWALST10D2,3570.0
CABLE RCA ALFA 100% COBRE OFC 17 PIES,#PCBALRCAOFC17,240.0
SUBWOOFER ALFA ST65D2,#PSWALST65D2,2390.0
HOJA INSONORIZANTE 3MM,#PHOAL001,240.0
CABLE RCA ALFA 100% COBRE OFC 3 PIES,#PCBALRCAOFC3,100.0
ALARMA 177,#KALAL838177,640.0
PORTA FUSIBLE AFS,#PDCALAFS2,80.0
ALARMA 709,#KALAL838709,640.0
ALARMA 609,#KALAL838609,640.0
"FARO CUADRADO LED ALFA 2X2 3"" BLANCO C/FLASH",#PFALEALCU008,490.0
CONVERTIDOR DE SEÑAL 6 CANALES,#PCVALHLC6,680.0
PREAMPLIFICADOR ALFA CON ECUALIZADOR,#PECALAPALFA5,2080.0
PORTA FUSIBLE ANL,#PDCAL1ANL,150.0
CABLE RCA ALFA 100% COBRE CCA TIPO Y 1H 2M,#PCBALRCACCAY1H2M,50.0
"BARRA ALFA LED 90W 28"" 15 LEDS BLANCA CON LATERALES AMBAR",#PBAAL1X15RBA,3250.0
"BARRA SYLVANIA 12"" LED SLIM COMBO LIGHTBAR SPOT/FLOOD",#PBASY34044,4880.0
ALARMA JX 315,#KALJX315,356250.0
ALARMA JX 512,#KALJX512,532605.0
GPS BASICO COBAN 311B,#KGPCO311B,950.0
ALARMA 687,#KALAL838687,640.0
ALARMA 714,#KALAL838714,640.0
ALARMA JX 687,#KALJX687,532605.0
ALARMA JX 714,#KALJX714,356205.0
ALARMA JX 607,#KALJX607,356250.0
ALARMA JX 513,#KALJX513,532605.0
ALARMA 513,#KALAL838513,640.0
ALARMA JX 177,#KALJX177,356250.0
ALARMA JX 709,#KALJX709,356205.0
GPS BASICO COBAN 303F CON MICROFONO,#KGPCO303F,950.0
TERMINAL CONECTOR CALIBRE 12-10 AWG,#PTEALBVW5,80.0
TERMINAL CHUPON CALIBRE 16-14 AWG,#PTEALCE2,30.0
TERMINAL ZAPATA NYLON CALIBRE 16-14 AWG,#PTEALFDFN2,40.0
ALARMA 315,#KALAL838315,640.0
CABLE PARA INSTALACIÓN CALIBRE 8,#PCBCY1X8RO,310.0
CABLE REMOTO CALIBRE 18 NEGRO,#PCBCY12X22BI,5
TERMINAL PARA CABLE CALIBRE 0 10MM 100% COBRE,#PTEALSCJGK-50,130.0
CINTA DE TELA AISLANTE TESA GRANDE 2CM,#PCIAISTESA50M,100.0
CINTA AISLANTE ELECTRICA DE PVC NEGRA,#PCIAISNITO,1170.0
SWITCH PARA LUCES AUXILIARES,#PSWALLJ71,200.0
TERMINAL PARA CABLE CALIBRE 8 10MM 100% COBRE,#PTEALSCJGK-10,130.0
TERMINAL ESPADA CALIBRE 16-14 AWG,#PTEALSV2-5,160.0
TERMINAL OJILLO 3.7 CALIBRE 16-14 AWG,#PTEALRVM2-3.7,80.0
ARNES BIXENON 9007,#PARBX97,240.0
ARNES SOCKET D2,#PARALHED2,300.0
TERMINAL CHUPON CALIBRE 14-12 AWG,#PTEALCE5,30.0
TERMINAL ZAPATA VINYL CALIBRE 16-14 AWG,#PTEALFDFV2,80.0
TERMINAL CONECTOR CALIBRE 16-14 AWG,#PTEALBVW2,80.0
ARNES UNIVERSAL PARA MOTO Y CARRO,#PARALCAMO,100.0
ARNES BIXENON H13,#PARBXH13,240.0
TERMINAL ESPADA 3.7 CALIBRE 16-14 AWG,#PTEALSVL2-3.7,80.0
SWITCH PARA BARRA LED,#PSWALLJ10,200.0
TERMINAL OJILLO CALIBRE 16-14 AWG,#PTEALRV2-3.5,94.0
ALARMA 512,#KALAL838512,640.0
TERMINAL ZAPATA SEMIFORRADA 205 CALIBRE 16-14,#PTEALFDV2-205,50.0
TERMINAL ZAPATA SEMIFORRADA 312 CALIBRE 16-14,#PTEALFDV2-312,110.0
CABLE PARA INSTALACIÓN CALIBRE 14 2 PUNTAS,#PCBCY2X14TR,58.0
CABLE BICOLOR 2X18,#PCBCY2X18BI,40.0
CABLE PARA INSTALACIÓN CALIBRE 4,#PCBCY1X4RO,10.0
FUENTE DE PODER REGULADA 65A,#PFUPO65AMP,1000
KIT LED ALFA M1 9006 Bicolor,#KFOLEALM1962C,670.0
"BARRA ALFA LED 90W 50"" 27 LEDS BLANCA CON LATERALES AMBAR",#PBAAL1X27RBA,4240.0
KIT BILED ALFA M1 9005 Bicolor,#KFOLEALM1952C,670.0
KIT FARO CUADRADO 9 LEDS,#KFALEALCU009,400.0
FOCO LED OSRAM D1S,#PFOXEOS86176,1300.0
"FARO LED ALFA 1X4 4.5"" AZUL/ROJO CON ESTROBO",#PFALEALRC008,570.0
SWITCH PARA BARRA LED DE DEFENSA,#PSWALLJ30,380.0
SWITCH PARA LUCES DE REVERSA,#PSWALLJ69,200.0
LIQUIDO RESTAURADOR DE MICAS,#PALALREST,1170.0
KIT LED ALFA M1 H11,#KFOLEALM1H11,620.0
"BARRA SYLVANIA 20"" SLIM LED LIGHTBAR",#PBASY34060,2680.0
KIT LED ALFA O1 H15,#KFOLEALO1H15,680.0
KIT LED ALFA D2S/D2R,#KFOLEALD2,2500.0
KIT LED ALFA D8S/D8R,#KFOLEALD8,2500.0
KIT LED ALFA P1 9006,#KFOLEALP196,680.0
KIT LED ALFA O1 9006,#KFOLEALO196,680.0
"FARO LED ALFA 4 LED 1X4 4.5""",#PFALEALRC006,280.0
AMPLIFICADOR ALFA 1000.1 MN,#PAMALMN1000.1D,2400.0
AMPLIFICADOR JX AUDIO 400/4D,#PAMJX400.4,1900.0
BOCINA ALFA 6.5,#KBOALAP65.2,1320.0
BOCINA ALFA MRA80,#PBOALMRA80,1280.0
SUBWOOFER ALFA MT10D2,#PSWALMT10D2,2560.0
SUBWOOFER ALFA MT12D4,#PSWALMT12D4,2980.0
ALARMA 607,#KALAL838607,640.0
CABLE PARA INSTALACIÓN CALIBRE 16 2 PUNTAS,#PCBCY2X16TR,58.0
TERMINAL PARA CABLE CALIBRE 4 10MM 100% COBRE,#PTEALSCJGK-25,130.0
KIT LED ALFA M2 H3 Tricolor,#KFOLEALM2H33C,1160.0
